"","Fecha","quintil","ingresos","trend","base","perc_change"
"1605",May 2016,3,648.682745201317,660.574966236738,615.113409283463,7.39076018619602
"1607",May 2016,4,930.926636958073,953.926885618338,917.7147187891,3.94590672763955
"1609",May 2016,5,1802.32994782823,1864.50943758888,1921.91829528103,-2.98706026333734
"1611",Jun 2016,1,257.898527242182,259.046960045953,235.74477272491,9.88449798979599
"1613",Jun 2016,2,467.008524347139,475.321711822414,426.811935859282,11.3656090393698
"1615",Jun 2016,3,646.44210604245,660.835234841841,615.113409283463,7.43307248197356
"1617",Jun 2016,4,930.657056185035,953.765981341486,917.7147187891,3.92837357996766
"1619",Jun 2016,5,1799.43168487118,1863.44492613717,1921.91829528103,-3.04244822932536
"1621",Jul 2016,1,268.274839596088,259.548734047137,235.74477272491,10.0973442791895
"1623",Jul 2016,2,476.193324519451,476.209118003853,426.811935859282,11.5735240733419
"1625",Jul 2016,3,656.663946737226,661.314356996698,615.113409283463,7.5109641597724
"1627",Jul 2016,4,948.662129654326,953.57834446535,917.7147187891,3.90792747920306
"1629",Jul 2016,5,1854.068972444,1862.31293555658,1921.91829528103,-3.10134722536357
"1631",Aug 2016,1,269.060765311852,260.051670803734,235.74477272491,10.3106837949648
"1633",Aug 2016,2,480.358005943034,477.037578935238,426.811935859282,11.7676285164892
"1635",Aug 2016,3,663.504331639725,661.677426243452,615.113409283463,7.5699889251693
"1637",Aug 2016,4,953.044986753998,953.111242306304,917.7147187891,3.85702907368733
"1639",Aug 2016,5,1859.63427303892,1859.23052663211,1921.91829528103,-3.26172911735315
"1641",Sep 2016,1,272.908669299991,260.531108937138,235.74477272491,10.5140554870974
"1643",Sep 2016,2,497.029485231594,477.616774309078,426.811935859282,11.9033312288965
"1645",Sep 2016,3,702.283299613407,661.861368079259,615.113409283463,7.59989265235698
"1647",Sep 2016,4,1011.47570765968,952.61955079988,917.7147187891,3.8034512573619
"1649",Sep 2016,5,1950.70998476623,1856.21788183459,1921.91829528103,-3.41848108776315
"1651",Oct 2016,1,272.434223203736,261.479617914679,235.74477272491,10.9164011962204
